time_s,mass_g,relative_fraction
0.00000000e+00,1.00000000e+10,1.00000000e+00
1.74728033e+01,9.98323551e+09,9.98323551e-01
3.49456067e+01,9.96641452e+09,9.96641452e-01
5.24184100e+01,9.94953657e+09,9.94953657e-01
6.98912134e+01,9.93260115e+09,9.93260115e-01
8.73640167e+01,9.91560779e+09,9.91560779e-01
1.04836820e+02,9.89855598e+09,9.89855598e-01
1.22309623e+02,9.88144522e+09,9.88144522e-01
1.39782427e+02,9.86427499e+09,9.86427499e-01
1.57255230e+02,9.84704478e+09,9.84704478e-01
1.74728033e+02,9.82975406e+09,9.82975406e-01
1.92200837e+02,9.81240230e+09,9.81240230e-01
2.09673640e+02,9.79498895e+09,9.79498895e-01
2.27146444e+02,9.77751346e+09,9.77751346e-01
2.44619247e+02,9.75997528e+09,9.75997528e-01
2.62092050e+02,9.74237385e+09,9.74237385e-01
2.79564854e+02,9.72470858e+09,9.72470858e-01
2.97037657e+02,9.70697890e+09,9.70697890e-01
3.14510460e+02,9.68918421e+09,9.68918421e-01
3.31983264e+02,9.67132393e+09,9.67132393e-01
3.49456067e+02,9.65339743e+09,9.65339743e-01
3.66928870e+02,9.63540410e+09,9.63540410e-01
3.84401674e+02,9.61734332e+09,9.61734332e-01
4.01874477e+02,9.59921445e+09,9.59921445e-01
4.19347280e+02,9.58101684e+09,9.58101684e-01
4.36820084e+02,9.56274984e+09,9.56274984e-01
4.54292887e+02,9.54441279e+09,9.54441279e-01
4.71765690e+02,9.52600501e+09,9.52600501e-01
4.89238494e+02,9.50752580e+09,9.50752580e-01
5.06711297e+02,9.48897449e+09,9.48897449e-01
5.24184100e+02,9.47035035e+09,9.47035035e-01
5.41656904e+02,9.45165267e+09,9.45165267e-01
5.59129707e+02,9.43288072e+09,9.43288072e-01
5.76602510e+02,9.41403375e+09,9.41403375e-01
5.94075314e+02,9.39511102e+09,9.39511102e-01
6.11548117e+02,9.37611175e+09,9.37611175e-01
6.29020921e+02,9.35703518e+09,9.35703518e-01
6.46493724e+02,9.33788050e+09,9.33788050e-01
6.63966527e+02,9.31864691e+09,9.31864691e-01
6.81439331e+02,9.29933360e+09,9.29933360e-01
6.98912134e+02,9.27993973e+09,9.27993973e-01
7.16384937e+02,9.26046445e+09,9.26046445e-01
7.33857741e+02,9.24090692e+09,9.24090692e-01
7.51330544e+02,9.22126625e+09,9.22126625e-01
7.68803347e+02,9.20154156e+09,9.20154156e-01
7.86276151e+02,9.18173193e+09,9.18173193e-01
8.03748954e+02,9.16183646e+09,9.16183646e-01
8.21221757e+02,9.14185420e+09,9.14185420e-01
8.38694561e+02,9.12178421e+09,9.12178421e-01
8.56167364e+02,9.10162550e+09,9.10162550e-01
8.73640167e+02,9.08137710e+09,9.08137710e-01
8.91112971e+02,9.06103800e+09,9.06103800e-01
9.08585774e+02,9.04060718e+09,9.04060718e-01
9.26058577e+02,9.02008360e+09,9.02008360e-01
9.43531381e+02,8.99946619e+09,8.99946619e-01
9.61004184e+02,8.97875389e+09,8.97875389e-01
9.78476987e+02,8.95794558e+09,8.95794558e-01
9.95949791e+02,8.93704014e+09,8.93704014e-01
1.01342259e+03,8.91603644e+09,8.91603644e-01
1.03089540e+03,8.89493332e+09,8.89493332e-01
1.04836820e+03,8.87372959e+09,8.87372959e-01
1.06584100e+03,8.85242403e+09,8.85242403e-01
1.08331381e+03,8.83101542e+09,8.83101542e-01
1.10078661e+03,8.80950251e+09,8.80950251e-01
1.11825941e+03,8.78788401e+09,8.78788401e-01
1.13573222e+03,8.76615863e+09,8.76615863e-01
1.15320502e+03,8.74432501e+09,8.74432501e-01
1.17067782e+03,8.72238182e+09,8.72238182e-01
1.18815063e+03,8.70032767e+09,8.70032767e-01
1.20562343e+03,8.67816113e+09,8.67816113e-01
1.22309623e+03,8.65588077e+09,8.65588077e-01
1.24056904e+03,8.63348512e+09,8.63348512e-01
1.25804184e+03,8.61097267e+09,8.61097267e-01
1.27551464e+03,8.58834189e+09,8.58834189e-01
1.29298745e+03,8.56559121e+09,8.56559121e-01
1.31046025e+03,8.54271903e+09,8.54271903e-01
1.32793305e+03,8.51972371e+09,8.51972371e-01
1.34540586e+03,8.49660359e+09,8.49660359e-01
1.36287866e+03,8.47335695e+09,8.47335695e-01
1.38035146e+03,8.44998205e+09,8.44998205e-01
1.39782427e+03,8.42647711e+09,8.42647711e-01
1.41529707e+03,8.40284031e+09,8.40284031e-01
1.43276987e+03,8.37906977e+09,8.37906977e-01
1.45024268e+03,8.35516359e+09,8.35516359e-01
1.46771548e+03,8.33111982e+09,8.33111982e-01
1.48518828e+03,8.30693646e+09,8.30693646e-01
1.50266109e+03,8.28261147e+09,8.28261147e-01
1.52013389e+03,8.25814276e+09,8.25814276e-01
1.53760669e+03,8.23352818e+09,8.23352818e-01
1.55507950e+03,8.20876554e+09,8.20876554e-01
1.57255230e+03,8.18385259e+09,8.18385259e-01
1.59002510e+03,8.15878704e+09,8.15878704e-01
1.60749791e+03,8.13356651e+09,8.13356651e-01
1.62497071e+03,8.10818861e+09,8.10818861e-01
1.64244351e+03,8.08265084e+09,8.08265084e-01
1.65991632e+03,8.05695066e+09,8.05695066e-01
1.67738912e+03,8.03108547e+09,8.03108547e-01
1.69486192e+03,8.00505260e+09,8.00505260e-01
1.71233473e+03,7.97884929e+09,7.97884929e-01
1.72980753e+03,7.95247274e+09,7.95247274e-01
1.74728033e+03,7.92592004e+09,7.92592004e-01
1.76475314e+03,7.89918824e+09,7.89918824e-01
1.78222594e+03,7.87227427e+09,7.87227427e-01
1.79969874e+03,7.84517500e+09,7.84517500e-01
1.81717155e+03,7.81788722e+09,7.81788722e-01
1.83464435e+03,7.79040760e+09,7.79040760e-01
1.85211715e+03,7.76273274e+09,7.76273274e-01
1.86958996e+03,7.73485913e+09,7.73485913e-01
1.88706276e+03,7.70678317e+09,7.70678317e-01
1.90453556e+03,7.67850114e+09,7.67850114e-01
1.92200837e+03,7.65000923e+09,7.65000923e-01
1.93948117e+03,7.62130348e+09,7.62130348e-01
1.95695397e+03,7.59237985e+09,7.59237985e-01
1.97442678e+03,7.56323415e+09,7.56323415e-01
1.99189958e+03,7.53386207e+09,7.53386207e-01
2.00937238e+03,7.50425916e+09,7.50425916e-01
2.02684519e+03,7.47442084e+09,7.47442084e-01
2.04431799e+03,7.44434236e+09,7.44434236e-01
2.06179079e+03,7.41401884e+09,7.41401884e-01
2.07926360e+03,7.38344522e+09,7.38344522e-01
2.09673640e+03,7.35261628e+09,7.35261628e-01
2.11420921e+03,7.32152662e+09,7.32152662e-01
2.13168201e+03,7.29017066e+09,7.29017066e-01
2.14915481e+03,7.25854263e+09,7.25854263e-01
2.16662762e+03,7.22663653e+09,7.22663653e-01
2.18410042e+03,7.19444619e+09,7.19444619e-01
2.20157322e+03,7.16196518e+09,7.16196518e-01
2.21904603e+03,7.12918684e+09,7.12918684e-01
2.23651883e+03,7.09610429e+09,7.09610429e-01
2.25399163e+03,7.06271037e+09,7.06271037e-01
2.27146444e+03,7.02899763e+09,7.02899763e-01
2.28893724e+03,6.99495837e+09,6.99495837e-01
